City,ID,Wind Speed,Latitude,Longitude,Cloudiness,Humidity,Weather Description,Max Temperature
Kwinana,2068079,13.87,-32.25,115.77,12,51,few clouds,89.6
Deori Khas,1273191,4.54,23.39,79.03,0,38,clear sky,87.2
Aasiaat,3424901,6.33,68.71,-52.87,48,100,scattered clouds,11.33
Fallon,5681948,9.17,46.84,-105.12,1,61,clear sky,46.4
Peniche,2264923,5.82,39.36,-9.38,0,76,clear sky,60.01
Egvekinot,4031742,13.71,66.32,-179.17,76,87,broken clouds,26.27
Hals,3220813,9.17,48.59,13.46,75,86,light rain,37.99
Swidwin,3084085,3.36,53.77,15.78,0,92,clear sky,28.99
Mae Hong Son,1152222,4.7,19.3,97.96,8,41,haze,91.4
Acapulco,3533462,4.7,16.86,-99.88,5,78,clear sky,77.0
Yerbogachen,2012956,4.76,61.28,108.01,64,67,broken clouds,28.88
Pedernales,3653307,3.31,0.07,-80.05,56,94,broken clouds,72.26
Gallup,5468773,4.7,35.53,-108.74,1,42,clear sky,51.8
Ha Giang,1581349,2.19,22.83,104.99,68,81,broken clouds,72.71
Butembo,217562,2.75,0.12,29.29,24,90,few clouds,68.66
Palmer,5871146,6.93,61.6,-149.11,1,64,clear sky,39.99
Alibag,1279027,7.78,18.64,72.88,0,52,smoke,89.6
Algeciras,2522013,44.96,36.13,-5.45,88,67,light rain,59.0
Gatesville,4693150,8.12,31.44,-97.74,1,76,clear sky,59.0
Severo-Kurilsk,2121385,14.05,50.68,156.12,88,95,overcast clouds,29.96
Dormont,5187150,5.82,40.4,-80.03,1,40,clear sky,33.8
Floro,3156980,4.7,61.6,5.03,75,93,light intensity shower rain,42.01
Svirstroy,534560,10.25,60.8,33.72,68,78,broken clouds,28.7
Mildura,2157698,6.93,-34.18,142.16,0,22,clear sky,78.01
Zhezkazgan,1516589,22.37,47.8,67.71,90,93,overcast clouds,37.4
Klamath Falls,5735238,8.05,42.22,-121.78,90,65,overcast clouds,41.0
Abha,110690,13.87,18.22,42.5,0,82,clear sky,64.4
Jumla,1283285,1.63,29.28,82.18,0,57,clear sky,43.82
Chapais,5919850,5.82,49.78,-74.86,20,55,few clouds,6.8
Tanabe,1850708,8.05,33.73,135.39,0,59,clear sky,66.99
Urusha,2014078,8.34,54.05,122.9,68,35,broken clouds,23.84
Copiapo,3893656,3.36,-27.37,-70.33,0,82,clear sky,59.0
Elverum,3158300,2.3,60.88,11.56,0,92,clear sky,23.0
Alice Springs,2077895,12.75,-23.7,133.88,0,23,clear sky,82.4
Port Shepstone,964406,9.01,-30.74,30.45,68,99,broken clouds,70.46
Alvinopolis,3472406,4.43,-20.11,-43.05,0,85,clear sky,59.21
Ixtapa,4004293,1.52,20.71,-105.21,20,94,few clouds,73.0
San Cristobal,3652462,4.7,-0.39,-78.55,90,93,overcast clouds,59.0
Gladstone,2165478,16.11,-23.84,151.26,40,58,scattered clouds,84.2
Sabang,1691355,13.27,13.72,123.58,88,79,overcast clouds,81.98
Kibala,2425791,9.17,9.11,18.35,40,61,scattered clouds,80.6
Muzhi,1498161,16.84,65.4,64.7,32,86,scattered clouds,32.66
Antalaha,1071296,3.42,-14.9,50.28,0,88,clear sky,84.95
Buta,217570,2.98,2.79,24.73,92,96,moderate rain,70.01
Ambon,3037899,9.17,47.55,-2.56,0,93,clear sky,39.2
Bud,7626370,9.17,62.91,6.91,75,93,light rain,42.8
Sindor,492860,3.53,62.87,51.9,80,90,broken clouds,29.33
San Quintin,1688687,8.12,17.54,120.52,0,39,clear sky,88.28
Cervo,3469169,3.42,-22.19,-46.24,36,90,scattered clouds,62.36
Collie,2074113,10.92,-33.36,116.15,8,24,clear sky,82.0
Scarborough,2638419,8.05,54.28,-0.41,0,81,clear sky,46.4
Ostersund,2685750,12.75,63.18,14.64,20,77,few clouds,37.99
Tshane,933726,5.32,-24.02,21.87,36,20,scattered clouds,75.86
Santa Isabel,3668716,1.63,4.71,-75.1,24,100,few clouds,61.82
Fremont,5350734,5.82,37.55,-121.99,75,76,light rain,59.0
Tottori,1849892,17.22,35.5,134.23,0,15,clear sky,71.6
Progreso,3440963,9.17,-34.68,-56.22,40,68,scattered clouds,66.0
Ibra,287832,1.97,22.69,58.55,88,50,overcast clouds,78.02
Rio Grande,3451138,12.26,-32.03,-52.1,92,87,overcast clouds,68.66
Teya,3526662,5.82,21.05,-89.07,40,78,scattered clouds,75.2
Zonguldak,737021,7.0,41.25,31.83,76,76,broken clouds,41.0
Pitimbu,3391889,3.36,-7.47,-34.81,75,100,light rain,75.2
Mandiana,2417795,0.96,10.62,-8.7,88,92,light rain,71.0
Kidal,2455290,11.25,18.44,1.41,44,28,scattered clouds,77.66
Inhambane,1045114,6.93,-23.87,35.38,20,69,few clouds,77.0
Saryagash,1512934,11.41,41.45,69.17,40,52,scattered clouds,64.4
Port Moresby,2088122,13.87,-9.47,147.16,40,62,scattered clouds,87.8
Jiaohe,2036536,7.0,43.72,127.34,12,46,few clouds,35.81
Khandyga,2022773,3.65,62.65,135.58,12,53,few clouds,12.59
Mayo,6068416,1.07,63.59,-135.9,20,79,few clouds,28.4
Conakry,2422465,13.82,9.52,-13.7,40,83,mist,77.0
Ndioum,2247684,9.91,16.51,-14.65,0,73,clear sky,60.92
Sistranda,3139597,18.34,63.73,8.83,75,93,shower rain,44.01
Sholokhovskiy,493839,8.68,48.28,41.05,64,69,broken clouds,42.02
Kahului,5847411,12.75,20.89,-156.47,20,60,few clouds,75.2
Powell River,6112608,2.24,49.84,-124.52,75,81,broken clouds,48.2
Camacha,2270385,16.11,33.08,-16.33,40,77,scattered clouds,62.6
Narsaq,3421719,11.41,60.91,-46.05,32,48,scattered clouds,17.6
Saint-Joseph,3037456,4.7,43.56,6.97,0,55,clear sky,46.4
Taoudenni,2450173,2.98,22.68,-3.98,44,89,scattered clouds,59.48
Ocala,4166673,7.23,29.19,-82.14,1,87,clear sky,63.0
Jamshedpur,1269300,5.82,22.8,86.2,0,45,haze,86.0
Gniezno,3099112,8.46,52.54,17.6,0,92,fog,33.01
Awjilah,88533,2.98,29.14,21.3,0,47,clear sky,55.16
Ust-Ilimsk,2013952,4.09,57.96,102.73,56,66,broken clouds,32.48
Praia,3460954,2.24,-20.25,-43.81,0,77,clear sky,68.0
Valleyview,6173220,9.35,55.07,-117.28,80,85,broken clouds,32.21
Pandan,1695555,19.64,11.72,122.09,80,96,broken clouds,80.99
Bastia,3176217,5.82,44.6,8.98,0,34,clear sky,50.0
Vanderhoof,6173361,2.86,54.02,-124.02,68,93,light rain,32.66
Farafenni,2413515,9.24,13.57,-15.6,0,63,clear sky,65.51
Gat,2249901,13.87,14.69,-16.54,0,93,clear sky,64.4
Ust-Nera,2120048,2.86,64.57,143.24,24,60,few clouds,13.58
Weyburn,6179652,5.01,49.67,-103.85,92,84,overcast clouds,43.0
Broome,2656067,4.7,52.47,1.45,0,87,clear sky,45.0
Jacala,3526646,1.97,21.0,-99.19,92,98,light rain,59.75
Cintalapa,3530617,11.36,16.7,-93.73,80,93,light rain,64.79
Doha,290030,17.22,25.29,51.53,20,38,haze,75.2
Galveston,4920577,2.98,40.58,-86.19,1,63,clear sky,34.0
Ahipara,2194098,14.61,-35.17,173.16,92,79,overcast clouds,69.92
The Valley,3573374,10.29,18.22,-63.06,40,78,scattered clouds,77.0
Monte Santo,3456820,3.98,-10.44,-39.33,92,95,overcast clouds,70.28
Homer,5864145,9.69,59.64,-151.54,1,56,clear sky,44.6
Nadym,1498087,16.28,65.53,72.51,36,96,scattered clouds,35.27
Ozieri,3171760,16.11,40.59,9.0,75,76,light rain,51.8
Coracora,3942259,2.19,-15.02,-73.78,92,90,light rain,43.64
Teno,3869979,4.7,-34.87,-71.16,0,76,clear sky,55.4
Bolshevik,625144,15.66,54.01,27.57,75,86,broken clouds,30.2
Tikapur,1282666,2.86,28.53,81.12,0,38,clear sky,79.1
San Patricio,3437029,5.66,-26.98,-56.83,64,57,broken clouds,67.04
Visnes,3131500,8.05,59.36,5.22,88,93,mist,43.0
Karratha,6620339,6.78,-20.74,116.85,36,93,scattered clouds,85.4
Gamba,1281256,9.8,28.28,88.52,12,86,few clouds,17.36
Evensk,2125693,10.13,61.92,159.24,80,100,broken clouds,20.06
LaPlace,4339881,4.7,30.07,-90.48,1,62,clear sky,59.0
Vanavara,2013727,3.76,60.35,102.28,56,66,broken clouds,28.34
Alakurtti,583472,4.65,66.96,30.34,36,78,scattered clouds,17.99
Zhigansk,2012530,6.33,66.77,123.37,0,55,clear sky,12.05
Kencong,1632358,4.43,-7.78,112.24,32,95,moderate rain,81.62
Jieshi,1805857,10.58,22.82,115.83,56,81,broken clouds,74.69
Salina Cruz,3520064,20.31,16.18,-95.2,0,45,clear sky,77.84
Komsomolskiy,1486910,19.86,67.55,63.78,88,95,overcast clouds,27.44
Hanyang,1798537,8.79,32.14,105.51,32,32,scattered clouds,65.96
Blovstrod,2623905,12.75,55.87,12.39,90,93,mist,44.01
Pangnirtung,6096551,2.3,66.15,-65.72,24,62,few clouds,-8.39
Wamba,204318,2.98,2.14,27.99,92,97,light rain,68.66
Fukue,1848373,10.29,35.03,136.69,0,42,clear sky,72.0
Rawson,3839307,12.59,-43.3,-65.11,0,42,clear sky,58.58
Betong,1611635,3.76,5.77,101.07,20,62,few clouds,90.26
Kumphawapi,1609336,5.82,17.11,103.01,20,47,few clouds,95.0
Oranjemund,3354071,3.2,-28.55,16.43,0,94,clear sky,60.02
North Bend,5742974,3.36,43.41,-124.22,1,87,clear sky,46.4
Muscat,287286,9.17,23.6,58.55,75,88,broken clouds,77.0
Vestmanna,2610343,6.93,62.16,-7.17,48,93,drizzle,42.8
Alta Floresta,6316343,2.19,-9.87,-56.08,76,96,light rain,74.06
Susanville,5572400,3.76,40.42,-120.65,90,61,overcast clouds,46.4
Carutapera,3402648,4.21,-1.2,-46.02,80,98,broken clouds,76.58
Belmonte,8010472,11.01,40.36,-7.35,0,43,clear sky,44.01
Alcudia,2522091,1.12,39.85,3.12,20,86,few clouds,55.0
Las Cruces,3872395,2.24,-33.5,-71.62,90,93,haze,53.6
Brawley,5330567,10.29,32.98,-115.53,1,18,clear sky,73.4
Turukhansk,1488903,20.54,65.8,87.96,48,93,scattered clouds,26.36
Port Blair,1259385,6.89,11.67,92.75,12,100,few clouds,84.32
Pombia,3170346,6.93,45.65,8.63,0,64,clear sky,46.99
Tessalit,2449893,9.24,20.2,1.01,92,29,overcast clouds,76.94
Goderich,5962442,3.0,43.74,-81.71,24,71,few clouds,26.01
Honningsvag,779554,23.04,70.98,25.97,64,68,broken clouds,26.6
Lowicz,3093066,1.12,52.11,19.95,0,92,clear sky,33.01
Vila Franca do Campo,3372472,23.04,37.72,-25.43,20,67,few clouds,57.2
Kawhia,2185537,18.86,-38.07,174.82,92,38,overcast clouds,72.0
Tuatapere,2180815,11.01,-46.13,167.69,68,88,broken clouds,52.0
Xinzhou,1788450,6.78,38.41,112.73,56,58,broken clouds,60.38
Curuguaty,3437088,5.1,-24.47,-55.69,8,58,clear sky,67.04
Pisco,3932145,1.12,-13.71,-76.2,20,82,smoke,68.0
Byron Bay,2172880,14.99,-28.65,153.62,90,77,light rain,69.8
Pontalina,3453158,4.65,-17.52,-49.45,92,85,overcast clouds,71.27
Jasper,4069659,6.11,33.83,-87.28,0,42,clear sky,50.0
Mareeba,2158767,10.29,-16.99,145.42,80,74,light rain,88.0
Grindavik,3416888,31.09,63.84,-22.43,75,81,shower rain,44.01
Valdosta,4228147,16.11,30.83,-83.28,90,93,light rain,57.2
Manokwari,1636308,10.02,-0.87,134.08,44,100,light rain,81.08
Caucaia,3402429,5.66,-3.73,-38.66,20,94,few clouds,77.0
Huarmey,3939168,3.09,-10.07,-78.15,8,89,clear sky,61.46
Ngerengere,151678,3.31,-6.76,38.13,8,68,clear sky,84.86
Curup,1645875,1.74,-3.47,102.53,80,79,light rain,79.1
Xiuyan,2033602,14.27,40.29,123.27,0,24,clear sky,55.7
Porto Novo,6322184,3.36,-23.68,-45.44,40,83,scattered clouds,69.8
Praia da Vitoria,3372760,15.5,38.73,-27.07,40,76,scattered clouds,57.2
Najran,103630,4.7,17.54,44.22,5,49,clear sky,71.6
Mineros,3910343,18.34,-17.12,-63.23,75,88,broken clouds,69.8
Varnamo,2664855,6.93,57.19,14.04,90,100,light intensity drizzle,39.99
Kharan,1174062,4.76,28.58,65.42,56,52,broken clouds,72.8
Dolores,3435038,2.86,-36.31,-57.68,20,84,few clouds,49.4
Hatillo,4565346,3.2,18.49,-66.83,56,100,broken clouds,75.99
Wladyslawowo,3081752,6.93,54.79,18.4,0,79,clear sky,36.0
Castlegar,5918118,1.41,49.32,-117.66,32,95,scattered clouds,29.33
Mulege,3995236,2.98,26.88,-111.98,12,62,few clouds,56.6
Tuy Hoa,1563281,7.34,13.08,109.3,64,76,broken clouds,81.98
Kampene,214575,2.98,-3.59,26.67,12,93,few clouds,72.44
Hermiston,5731070,3.36,45.84,-119.29,1,61,clear sky,46.99
Nhulunbuy,2064735,9.17,-12.18,136.78,40,79,scattered clouds,86.0
Wageningen,2745088,4.88,51.98,5.66,90,93,mist,45.0
Nueve de Julio,3842882,0.96,-31.67,-68.39,68,83,broken clouds,54.35
Clyde River,5924351,3.36,70.47,-68.59,40,62,scattered clouds,-13.01
Marshall,4243951,4.7,39.39,-87.69,1,64,clear sky,37.4
Sinazongwe,897456,11.81,-17.26,27.46,0,67,clear sky,81.44
Jiaonan,1792087,15.66,35.88,119.98,0,20,clear sky,73.4
Sorong,1626542,7.67,-0.86,131.25,56,100,broken clouds,82.88
Walvis Bay,3359638,5.82,-22.95,14.51,90,87,overcast clouds,61.0
Tocopilla,3869716,1.74,-22.09,-70.2,36,100,scattered clouds,60.56
Kargil,1267776,1.41,34.56,76.13,0,88,clear sky,9.98
Lazaro Cardenas,3996234,32.21,28.39,-105.62,40,36,moderate rain,75.2
Garowe,58933,6.11,8.41,48.48,80,76,light rain,76.04
Amarante do Maranhao,3407755,2.64,-5.57,-46.74,76,96,broken clouds,71.36
Young,3439525,9.24,-32.7,-57.63,0,83,light rain,60.65
Namatanai,2090021,13.49,-3.66,152.44,0,94,clear sky,84.41
Stodolishche,487464,6.44,54.18,32.65,12,66,few clouds,30.59
Marystown,6067472,10.36,47.17,-55.16,80,100,broken clouds,26.01
Nizhnevartovsk,1497543,15.66,60.93,76.58,90,88,overcast clouds,33.8
Margate,2158744,13.87,-43.03,147.26,0,32,clear sky,72.0
Labuhan,1641899,3.2,-2.54,115.51,48,64,scattered clouds,87.56
Aberdeen,5225857,8.05,45.47,-98.49,1,93,mist,39.99
Along,1278969,1.3,28.17,94.8,92,96,moderate rain,55.61
Puerto Cabezas,3617154,15.61,14.04,-83.39,88,89,overcast clouds,80.9
Americo Brasiliense,3472338,6.22,-21.72,-48.1,24,83,few clouds,69.65
Vukovar,3187047,9.17,45.34,19.0,0,80,clear sky,30.2
Ouango,236844,3.2,4.31,22.55,64,98,broken clouds,71.18
Middlebury,5238499,2.42,44.01,-73.17,1,57,clear sky,23.0
Ilhabela,3461425,10.13,-23.78,-45.36,44,100,scattered clouds,77.84
Lompoc,5367788,4.7,34.64,-120.46,75,93,broken clouds,55.99
Hongjiang,1808106,11.25,27.21,109.83,12,71,few clouds,77.75
Rudnogorsk,2017378,5.66,57.27,103.75,80,70,broken clouds,30.77
Kolyvan,1502822,8.95,55.31,82.74,0,55,clear sky,35.6
Talas,299900,3.53,38.69,35.55,0,69,clear sky,37.4
Rorvik,3141310,10.29,64.86,11.24,75,87,shower rain,42.8
Maniitsoq,3421982,5.99,65.42,-52.9,0,72,clear sky,5.57
Rudnichnyy,1493457,5.32,59.7,60.29,48,64,scattered clouds,37.61
Agadez,2448085,13.87,16.97,7.99,0,27,clear sky,73.4
Zheleznogorsk-Ilimskiy,2012557,3.65,56.58,104.12,44,60,scattered clouds,28.61
Kumta,1265645,2.98,14.42,74.4,36,89,light rain,83.33
Hokitika,2206894,12.82,-42.72,170.96,0,98,clear sky,61.64
Grand Gaube,934479,6.93,-20.01,57.66,75,74,broken clouds,86.0
Jonkoping,2702979,4.7,57.78,14.16,75,100,broken clouds,39.99
Smolenka,757718,9.91,54.15,22.76,0,94,clear sky,30.0
Verkhnyaya Tishanka,474473,5.55,51.32,40.54,36,100,scattered clouds,33.92
Lapua,648855,5.82,62.97,23.01,0,79,clear sky,28.99
Paamiut,3421193,5.77,61.99,-49.67,76,100,broken clouds,22.31
Celestun,3531368,18.3,20.87,-90.4,0,100,clear sky,76.04
Aldan,2027968,6.33,58.61,125.39,76,52,broken clouds,14.3
Yerakion,251411,4.7,37.0,22.7,20,87,mist,55.99
Yankton,5233053,13.87,42.87,-97.4,1,71,clear sky,51.8
Seguela,2596934,5.44,7.96,-6.67,24,89,few clouds,73.7
Arrifes,3373329,23.04,37.77,-25.7,20,67,few clouds,57.2
Arlit,2447513,4.43,18.74,7.39,76,31,broken clouds,69.11
Marabba,370510,11.03,12.35,32.18,0,19,clear sky,76.49
Coahuayana,3981460,3.87,18.62,-100.35,0,35,clear sky,57.86
Mecca,104515,4.76,21.43,39.83,0,23,clear sky,71.9
Cam Ranh,1586350,9.17,11.92,109.15,20,59,few clouds,89.6
Pevek,2122090,2.86,69.7,170.27,92,75,overcast clouds,25.91
Klyuchi,1503153,9.46,52.25,79.17,76,77,light rain,42.83
Maracacume,3395497,2.64,-2.04,-45.96,20,95,few clouds,72.71
Paragominas,3393106,3.31,-3.0,-47.35,92,96,moderate rain,73.34
Leh,1264976,1.74,34.16,77.58,0,86,clear sky,2.51
Lang Suan,1152432,10.29,9.95,99.07,40,52,scattered clouds,93.2
Zhanakorgan,1517323,15.84,43.91,67.25,92,98,light rain,58.4
Ambanja,1083724,4.7,-13.68,48.45,20,84,few clouds,86.0
Zarand,111421,6.93,30.81,56.57,40,76,scattered clouds,53.6
Jatai,1270260,5.99,28.97,76.18,0,41,clear sky,89.0
Kaura Namoda,2334756,11.7,12.59,6.58,8,23,clear sky,69.74
Gorin,5056241,8.05,40.36,-92.02,1,45,clear sky,42.8
Mapiripan,3792394,6.22,2.89,-72.13,0,60,clear sky,79.73
Isangel,2136825,9.17,-19.55,169.27,75,70,broken clouds,84.2
Spearfish,5769288,9.17,44.49,-103.86,1,40,clear sky,52.0
Pogranichnyy,2017851,7.34,44.41,131.38,32,39,scattered clouds,34.73
Moron,3631878,3.2,10.49,-68.2,80,93,light rain,68.21
Loukhi,533964,5.66,66.08,33.04,0,75,clear sky,19.43
Odessa,5527554,8.05,31.85,-102.37,1,67,clear sky,66.99
Suba,1800475,2.86,28.73,103.51,76,48,broken clouds,66.23
Vostok,2013279,6.11,46.45,135.83,76,56,broken clouds,23.48
Panzhihua,6929460,7.0,26.59,101.72,64,38,broken clouds,72.0
Doka,376332,8.9,13.52,35.76,0,23,clear sky,78.02
Deputatskiy,2028164,3.98,69.3,139.9,0,74,clear sky,8.72
Laguna,4013704,1.74,27.52,-110.01,44,63,scattered clouds,63.8
Banyo,2234794,2.08,6.75,11.81,20,47,few clouds,62.18
Imphal,1269771,4.21,24.8,93.94,56,65,broken clouds,71.36
Nyurba,2018735,4.76,63.29,118.35,0,55,clear sky,23.75
Telhara,1254787,4.54,21.03,76.85,0,25,clear sky,96.02
Riachao,3390581,2.98,-7.36,-46.62,56,97,broken clouds,71.18
Minab,123941,4.7,27.15,57.07,90,94,moderate rain,68.0
Broken Hill,2173911,9.17,-31.97,141.45,0,23,clear sky,73.4
Meulaboh,1214488,1.41,4.14,96.13,76,100,light rain,81.89
Nome,4732862,4.7,30.04,-94.42,1,55,smoke,60.8
Ventanas,3868621,3.36,-32.74,-71.48,90,93,haze,53.6
Seda,455786,1.99,57.65,25.75,0,92,clear sky,28.99
Viseu,2732265,6.93,40.66,-7.91,0,28,clear sky,59.0
Obo,236950,8.68,5.39,26.49,64,91,broken clouds,72.89
Karasburg,3356343,3.31,-28.01,18.75,0,50,clear sky,60.11
